sample	pre-wash	wash	post-dry
"lowT_7 "	4.1507	9.14	4.0741 
"lowT_6  "	4.1172	8.28	3.9638
"lowT_5  "	4.0162	7.44	3.9549
"lowT_4  "	3.8869	7.14	3.8225
"lowT_3  "	3.2683	6.95	3.1826
"lowT_2  "	3.2141	6.92	3.0748
"lowT_1  "	3.1558	6.63	3.0204
"laser_6 "	4.5324	7.11	4.5167
"laser_5 "	4.4372	6.83	4.4183
"laser_4 "	6.8	    4.02	4.0859
"laser_3 "	3.8526	6.36	3.7923
"laser_2 "	3.6049	5.84	3.5673
"laser_1 "	3.0768	5.16	3.0286
"highT_7 "	4.1026	6.83	3.9536
"highT_6 "	3.6575	5.85	3.5234
"highT_5 "	3.1336	5.19	3.0188
"highT_4 "	3.102	5.12	2.9874
"highT_3 "	2.7717	4.58	2.6665
"highT_2 "	2.6305	4.36	2.5241
"highT_1 "	2.5943	4.17	2.5133
