sample,pre-wash,wash,post-dry
5k - 50i,2.4408,4.88,2.293
5k - 50i,2.3353,4.56,2.2215
5k - 50i,2.3654,4.56,2.253
5k - 50i,2.4142,4.65,2.2642
5k - 50i,2.5307,4.93,2.4125
5k - 50i,2.4638,4.62,2.3414
5k - 200i,3.0145,6.47,2.9111
5k - 200i,2.6244,5.32,2.5113
5k - 200i,2.447,5.08,2.3493
5k - 200i,2.6415,5.95,2.5588
5k - 200i,2.9655,6.37,2.8808
5k - 200i,2.9931,6.44,2.9033
5k - 500i,2.343,5.53,2.2109
5k - 500i,2.5108,5.6,2.3621
5k - 500i,0.869,2.09,0.8267
5k - 500i,0.7542,2.09,0.7987
5k - 500i,1.4785,3.28,1.3926
5k - 500i,1.0542,2.27,0.953
5k - 500i,1.6432,3.79,1.5312
5k - 500i + oven,3.306,6.93,3.1636
5k - 500i + oven,3.1058,6.33,2.9602
5k - 500i + oven,3.2974,6.41,3.143
5k - 500i + oven,1.7905,3.67,1.7047
5k - 500i + oven,1.8223,3.71,1.7336
5k - 500i + oven,2.6958,5.5,2.5633
5k - 500i + oven,2.0605,4.23,1.96
5k - 500i + oven,1.9052,3.9,1.8125
5k - 1000i (~),2.5945,5.89,2.4153
5k - 1000i (~),2.9536,7.55,2.779
5k - 1000i (~),2.6801,6.04,2.501
5k - 1000i (~),3.0057,7.81,2.8025
5k - 1000i (~),2.9884,7.75,2.8022
5k - 1000i (~),2.9193,6.67,2.7196
