sample,pre-wash,wash,post-dry
LRO_center-1,.2698,.529,0.2586
LRO_center-2,.2909,.499,.2806
LRO_center-3,.1998,.3653,.1909
LRO_inner-lip-1,.277,.4929,.2655
LRO_inner-lip-2,.2022,.3612,.1949
LRO_inner-lip-3,.3321,.5916,.3187
LRO_lip-1,.4544,.7891,.4363
LRO_lip-2,.3001,.523,.2876
LRO_lip-3,.3851,.672,.3701
LRO_bulk-1,.603,1.0345,.5788
LRO_bulk-2,.5665,.9695,.5431
LRO_bulk-3,.2399,.4156,.2299
RLO_center-1,.3901,.666,.3773
RLO_center-2,.4396,.7609,.4255
RLO_center-3,.3253,.562,.3099
RLO_inner-lip-1,.4622,.8018,.4465
RLO_inner-lip-2,.4052,.7075,.3947
RLO_inner-lip-3,.4011,.6934,.3886
RLO_lip-1,.3505,.606,.3374
RLO_lip-2,.5475,.9481,.5339
RLO_lip-3,.4854,.8464,.473
RLO_bulk-1,.3447,.5981,.3306
RLO_bulk-2,.645,1.1151,.6295
RLO_bulk-3,.5953,1.0306,.5783
